Year;quarter;ukos;mode;country;purpose;package;Age;Sex;duration;visits;nights;expend;sample
2022;1;1;1;11;1;1;3;2;2;"748,893";"3744,467";"224667,992";1
2022;1;1;1;11;1;1;4;1;1;"381,963";"763,926";"190981,410";1
2022;1;1;1;11;1;1;6;1;1;"828,572";"2485,717";"207143,074";1
2022;1;1;1;11;1;1;7;1;1;"828,572";"828,572";"124285,844";1
2022;1;1;1;11;2;1;3;1;1;"1858,539";"3266,426";"666552,888";3
2022;1;1;1;11;2;1;3;1;2;"1074,264";"5371,318";"429705,442";1
2022;1;1;1;11;2;1;4;2;1;"381,963";"1145,888";"38196,282";1
2022;1;1;1;11;2;1;5;1;1;"468,593";"1405,780";"468593,296";1
2022;1;1;1;11;2;2;4;1;2;"381,963";"3055,703";"347204,203";1
2022;1;1;1;11;2;2;5;1;1;"469,296";"469,296";"106530,148";1
2022;1;1;1;11;4;1;2;1;1;"381,963";"1145,888";"1909,814";1
2022;1;1;1;11;4;1;2;2;4;"828,572";"23200,024";"0,000";1
2022;1;1;1;11;4;1;5;1;2;"872,839";"6109,874";"149255,500";1
2022;1;1;1;11;4;1;6;2;2;"919,947";"3679,790";"117753,268";1
2022;1;1;1;11;4;1;7;2;1;"381,963";"763,926";"38196,282";1
2022;1;1;1;12;1;1;2;1;2;"285,049";"2280,388";"238870,647";1
2022;1;1;1;12;1;1;2;2;2;"610,135";"4270,948";"143686,878";2
2022;1;1;1;12;1;1;3;1;1;"610,135";"1830,406";"198293,992";2
2022;1;1;1;12;1;1;3;1;2;"2501,556";"12202,713";"1534310,979";6
2022;1;1;1;12;1;1;3;1;6;"285,049";"60430,283";"1425242,525";1
2022;1;1;1;12;1;1;3;2;1;"610,135";"1830,406";"251680,837";2
2022;1;1;1;12;1;1;3;2;2;"590,116";"2360,465";"243015,231";2
2022;1;1;1;12;1;1;3;2;4;"305,068";"11897,640";"246799,754";1
2022;1;1;1;12;1;1;4;1;1;"305,068";"915,203";"39658,798";1
2022;1;1;1;12;1;1;4;1;2;"1157,888";"7820,165";"485585,293";2
2022;1;1;1;12;1;1;4;1;3;"1639,154";"31030,104";"516562,099";2
2022;1;1;1;12;1;1;4;2;2;"2640,862";"20169,331";"936343,397";5
2022;1;1;1;12;1;1;4;2;3;"305,068";"4576,015";"228800,761";1
2022;1;1;1;12;1;1;5;1;2;"1288,784";"7270,076";"850930,902";2
2022;1;1;1;12;1;1;5;1;3;"1334,086";"18677,203";"867155,875";1
2022;1;1;1;12;1;1;5;2;2;"2873,452";"23338,374";"1322848,390";5
2022;1;1;1;12;1;1;6;#NULL!;4;"285,049";"12257,086";"253693,169";1
2022;1;1;1;12;1;1;6;1;2;"1342,135";"8456,353";"602542,653";2
2022;1;1;1;12;1;1;6;2;1;"875,706";"2627,119";"218926,585";1
2022;1;1;1;12;1;1;7;1;2;"1803,382";"12623,672";"1858353,670";2
2022;1;1;1;12;1;1;9;1;2;"872,839";"6109,874";"577819,537";1
2022;1;1;1;12;1;2;2;1;2;"285,049";"1995,340";"252838,024";1
2022;1;1;1;12;1;2;2;2;2;"1747,164";"12230,146";"1455729,884";2
2022;1;1;1;12;1;2;3;1;2;"4047,503";"28332,522";"3117260,163";4
2022;1;1;1;12;1;2;3;2;2;"305,068";"1220,271";"123552,411";1
2022;1;1;1;12;1;2;4;1;2;"1285,917";"6382,901";"655152,748";2
2022;1;1;1;12;1;2;5;1;2;"724,451";"4448,408";"430079,547";2
2022;1;1;1;12;1;2;6;1;2;"413,078";"2891,544";"1191316,178";1
2022;1;1;1;12;2;1;4;1;1;"305,068";"915,203";"137280,456";1
2022;1;1;1;12;2;1;4;1;2;"305,068";"3965,880";"330693,366";1
2022;1;1;1;12;2;1;4;1;3;"305,068";"7626,692";"1053703,769";1
2022;1;1;1;12;2;1;5;1;5;"305,068";"51251,370";"2094594,696";1
